,outletID,Subway Station,Tobacco Outlet Address,ZIP,Important Notes,Images (Y/N),Quality (Y/N),Quality (Y/N) Comments ,Name,Borough,name_1,Cons 1,numerator green_1,denom_all_1,Non-cons 1,numerator all_1,denom_all_1.1,name_2,Cons 2,numerator green_2,denom_all_2,Non-cons 2,Num_All_2,denom_all_2.1,Name*,Cons*,Num_Green,Denom_All,Non-cons*,Num_All,Denom_All.1,outlet_id,subway_station_x,address_x,borough_x,zip_x,ftp_visible_x,black and mild_x,bm_quantity_x,bm_flavor_x,bm_pkgclr_x,entourage_x,e_quantity_x,e_flavor_x,e_pkgclr_x,blunt wraps_x,bw_quantity_x,bw_flavor,bw_pkgclr_x,zig zag_x,zz_quantity_x,zz_flavor_x,zz_pkgclr_x,show_x,sh_quantity_x,sh_flavor_x,sh_pkgclr_x,swisher sweets_x,ss_quantity_x,ss_flavor_x,ss_pkgclr_x,hype_x,hy_quantity_x,hy_flavor_x,hy_pkgclr_x,d'ville_x,dv_quantity_x,dv_flavor_x,dv_pkgclr_x,game_x,gm_quantity_x,gm_flavor_x,gm_pkgclr_x,other_x,other_quantity_x,other_flavor_x,other_pkgclr_x,unidentifiable_brand_x,issues_x,subway_station_y,address_y,borough_y,zip_y,ftp_visible_y,black and mild_y,bm_quantity_y,bm_flavor_y,bm_pkgclr_y,entourage_y,e_quantity_y,e_flavor_y,e_pkgclr_y,blunt wraps_y,bw_quantity_y,bw_flavors,bw_pkgclr_y,zig zag_y,zz_quantity_y,zz_flavor_y,zz_pkgclr_y,show_y,sh_quantity_y,sh_flavor_y,sh_pkgclr_y,swisher sweets_y,ss_quantity_y,ss_flavor_y,ss_pkgclr_y,hype_y,hy_quantity_y,hy_flavor_y,hy_pkgclr_y,d'ville_y,dv_quantity_y,dv_flavor_y,dv_pkgclr_y,game_y,gm_quantity_y,gm_flavor_y,gm_pkgclr_y,other_y,other_quantity_y,other_flavor_y,other_pkgclr_y,unidentifiable_brand_y,issues_y
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,"59 St - Lexington Avenue Subway Station, 4, 5, &6 train",802 Lexington Ave Manhattan NY 10065,MN,10065.0,y,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,dutch masters,1.0,palma,,,,"59 St - Lexington Avenue Subway Station, 4, 5, &6 train",802 Lexington Ave Manhattan NY 10065,MN,10065.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,"59 St - Lexington Avenue Subway Station, 4, 5, &6 train",790 Lexington Ave Manhattan NY 10065,MN,10065.0,n,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,,,,,,,"59 St - Lexington Avenue Subway Station, 4, 5, &6 train",790 Lexington Ave Manhattan NY 10065,MN,10065.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,"59 St - Lexington Avenue Subway Station, 4, 5, &6 train",670 Lexington Ave Manhattan NY 10022,MN,10022.0,y,n,,,,y,1.0,palma,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,"bluntville, dutch masters",2.0,palma,,,,"59 St - Lexington Avenue Subway Station, 4, 5, &6 train",670 Lexington Ave Manhattan NY 10022,MN,10022.0,Y,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,Y,2.0,"BLUE, GREEN",,N,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,"7th Ave. (B,Q)",632 VANDERBILT AVE Brooklyn NY 11238,BK,11238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"7th Ave. (B,Q)",632 VANDERBILT AVE Brooklyn NY 11238,BK,11238.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,"96th St, 1, 2, &3 train",262 W 96TH ST Manhattan NY 10025,MN,10025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"96th St, 1, 2, &3 train",262 W 96TH ST Manhattan NY 10025,MN,10025.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,Bedford Ave. (L),195 BEDFORD AVE Brooklyn NY 11211,BK,11211.0,y,n,,,,y,10.0,palma,,n,,,,n,,,,n,,,,n,,,,n,,,,y,5.0,gold,,n,,,,backwoods,1.0,sweet aromatic,,,4,Bedford Ave. (L),195 BEDFORD AVE Brooklyn NY 11211,BK,11211.0,Y,N,,,,Y,10.0,PALMA,,N,,,,N,,,,N,,,,N,,,,N,,,,Y,5.0,GOLD,,N,,,,N,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,"Canal St, 1 & 2 train",206 VARICK ST Manhattan NY 10013,MN,10013.0,y,n,,,,y,1.0,palma,,n,,,,n,,,,y,2.0,"sweet, og kush",,n,,,,n,,,,y,1.0,gold,,y,6.0,"red, blue, silver, green",,"backwoods, white owl",4.0,sweet aromatic,black/others,,,"Canal St, 1 & 2 train",206 VARICK ST Manhattan NY 10013,MN,10013.0,Y,N,,,,Y,1.0,PALMA,,N,,,,N,,,,Y,2.0,"OG KUSH, SWEET",,N,,,,N,,,,Y,3.0,GOLD,,Y,7.0,,"BLUE, GREEN,3 WHITE, ORANGE, 1 UNID",White Owl,4.0,unid,unid,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,"Cortlandt St, N & R train",160 BROADWAY Manhattan NY 10038,MN,10038.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Cortlandt St, N & R train",160 BROADWAY Manhattan NY 10038,MN,10038.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,
180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,"Inwood - 207 St, A train",4910 BROADWAY Manhattan NY 10034,MN,10034.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Inwood - 207 St, A train",4910 BROADWAY Manhattan NY 10034,MN,10034.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,
181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,"Jamaica Center - Parsons/Archer (E,J,Z)",15934 JAMAICA AVE Queens NY 11432,QN,11432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Jamaica Center - Parsons/Archer (E,J,Z)",15934 JAMAICA AVE Queens NY 11432,QN,11432.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,
