outletID,Subway Station,Tobacco Outlet Address,ZIP,Important Notes,Images (Y/N),Quality (Y/N),Quality (Y/N) Comments ,Name,Borough,name_1,Cons 1,numerator green_1,denom_all_1,Non-cons 1,numerator all_1,denom_all_1,name_2,Cons 2,numerator green_2,denom_all_2,Non-cons 2,Num_All_2,denom_all_2,Name*,Cons*,Num_Green,Denom_All,Non-cons*,Num_All,Denom_All
27,Norwood & Fulton,3118 FULTON ST Brooklyn NY 11208,11208,,Y,Y,Y,Janelle & Sally,BK,JP,39/153,39,153,51/153,51,153,RL,40/150,40,150,52/150,52,150,,,,,,,
28,"Pennsylvania Ave. (2,3,4,5)",734 DUMONT AVE Brooklyn NY 11207,11207,,Y,Y ,Y - Blurry but usable; number of packs cannot be determined,Janelle,BK,JP,2/4,2,4,2/4,2,4,SA,2/4,2,4,2/4,2,4,,,,,,,
29,"Pennsylvania Ave. (2,3,4,5)",575 RIVERDALE AVE Brooklyn NY 11207,11207,Not clearly visible ,Y,Y ,Y - Cigs are hidden in clear pictures,Janelle,BK,JP,2/4,2,4,2/4,2,4,RL,2/4,2,4,2/4,2,4,,,,,,,
30,"Pennsylvania Ave. (2,3,4,5)",578 LIVONIA AVE Brooklyn NY 11207,11207,,Y,Y ,Y - Good but slightly blurry ,Janelle,BK,JP,2/7,2,7,2/7,2,7,SA,3/6,3,6,4/6,4,6,,,,,,,
31,"Pennsylvania Ave. (2,3,4,5)",504 PENNSYLVANIA AVE Brooklyn NY 11207,11207,,Y,Y ,Y - Good quality although a bit dark,Janelle,BK,JP,1/9,1,9,1/9,1,9,SA,8/19,8,19,11/19,11,19,,,,,,,
32,"Pennsylvania Ave. (2,3,4,5)",509 PENNSYLVANIA AVE Brooklyn NY 11207,11207,"Folder on drive labeled ""Probably(?)""",Y,Y ,Y - Good quality,Janelle,BK,JP,12/22,12,22,12/22,12,22,SA,13/26,13,26,14/26,14,26,,,,,,,
33,"Sterling St. (2,5)",413 LEFFERTS AVE Brooklyn NY 11225,11225,,Y,Y,Y - Good quality,Janelle,BK,JP,10/15,10,15,10/15,10,15,SA,10/15,10,15,10/15,10,15,,,,,,,
34,"Sterling St. (2,5)",250 EMPIRE BLVD Brooklyn NY 11225,11225,,Y,Y ,Y - Blurry but usable,Janelle,BK,JP,14/20,14,20,16/20,16,20,SA,14/20,14,20,16/20,16,20,,,,,,,
35,"Sterling St. (2,5)",1079 NOSTRAND AVE Brooklyn NY 11225,11225,no prices,Y,Y ,Y - Good quality but cashier is blocking cigs,Janelle,BK,JP,14/48,14,48,14/48,14,48,SA,4/18,4,18,4/18,4,18,,,,,,,
36,"Sterling St. (2,5)",1080 NOSTRAND AVE Brooklyn NY 11225,11225,no prices,Y,Y ,Y - Blurry but usable,Janelle,BK,JP,10/88,10,88,12/88,12,88,SA,5/21,5,21,8/21,8,21,,,,,,,
