,Unnamed: 0,Unnamed: 0.1,outletID,Subway Station,Tobacco Outlet Address,ZIP,Important Notes,Images (Y/N),Quality (Y/N),Quality (Y/N) Comments ,Name,Borough,name_1,Cons 1,numerator green_1,denom_all_1,Non-cons 1,numerator all_1,denom_all_1.1,name_2,Cons 2,numerator green_2,denom_all_2,Non-cons 2,Num_All_2,denom_all_2.1,Name*,Cons*,Num_Green,Denom_All,Non-cons*,Num_All,Denom_All.1,outlet_id,subway_station_x,address_x,borough_x,zip_x,ftp_visible_x,black and mild_x,bm_quantity_x,bm_flavor_x,bm_pkgclr_x,entourage_x,e_quantity_x,e_flavor_x,e_pkgclr_x,blunt wraps_x,bw_quantity_x,bw_flavor,bw_pkgclr_x,zig zag_x,zz_quantity_x,zz_flavor_x,zz_pkgclr_x,show_x,sh_quantity_x,sh_flavor_x,sh_pkgclr_x,swisher sweets_x,ss_quantity_x,ss_flavor_x,ss_pkgclr_x,hype_x,hy_quantity_x,hy_flavor_x,hy_pkgclr_x,d'ville_x,dv_quantity_x,dv_flavor_x,dv_pkgclr_x,game_x,gm_quantity_x,gm_flavor_x,gm_pkgclr_x,other_x,other_quantity_x,other_flavor_x,other_pkgclr_x,unidentifiable_brand_x,issues_x,subway_station_y,address_y,borough_y,zip_y,ftp_visible_y,black and mild_y,bm_quantity_y,bm_flavor_y,bm_pkgclr_y,entourage_y,e_quantity_y,e_flavor_y,e_pkgclr_y,blunt wraps_y,bw_quantity_y,bw_flavors,bw_pkgclr_y,zig zag_y,zz_quantity_y,zz_flavor_y,zz_pkgclr_y,show_y,sh_quantity_y,sh_flavor_y,sh_pkgclr_y,swisher sweets_y,ss_quantity_y,ss_flavor_y,ss_pkgclr_y,hype_y,hy_quantity_y,hy_flavor_y,hy_pkgclr_y,d'ville_y,dv_quantity_y,dv_flavor_y,dv_pkgclr_y,game_y,gm_quantity_y,gm_flavor_y,gm_pkgclr_y,other_y,other_quantity_y,other_flavor_y,other_pkgclr_y,unidentifiable_brand_y,issues_y,geo22,lon,lat
14,14,14,15.0,"Kings Highway (B,Q)",1426 KINGS HWY Brooklyn NY 11229,11229.0,Don't have clear photos of full counter display,Y,Y ,Y - Some are clear but does not capture all cigs on display; picture that has all cigs on display blurry,Janelle,BK,JP,Aug-78,8.0,78.0,Oct-78,10.0,78.0,SA,13/57,13.0,57.0,Jul-57,7.0,57,,,,,,,,15,"Kings Highway (B,Q)",1426 KINGS HWY Brooklyn NY 11229,BK,11229.0,n,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,,,,,,,"Kings Highway (B,Q)",1426 KINGS HWY Brooklyn NY 11229,BK,11229.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.6084878, -73.95841899999999]", -73.95841899999999,40.6084878
15,15,15,16.0,"Kings Highway (B,Q)",1924 KINGS HWY Brooklyn NY 11229,11229.0,,Y,Y ,Y - Not as clear as others but usable,Janelle,BK,JP,27/165,27.0,165.0,34/165,34.0,165.0,SA,24/102,24.0,102.0,36/102,36.0,102,,,,,,,,16,"Kings Highway (B,Q)",1924 KINGS HWY Brooklyn NY 11229,BK,11229.0,y,n,,,,n,,,,n,,,,y,3.0,"straight up, pink",dark brown,y,3.0,"buzz, sweet",pink,n,,,,y,2.0,"sweet, silver",,y,1.0,gold,,n,,,,"backwoods, captain black, trivo",4.0,"sweet aromatic, vanilla, silver, white grape",,,,"Kings Highway (B,Q)",1924 KINGS HWY Brooklyn NY 11229,BK,11229.0,Y,N,,,,N,,,,N,,,,Y,5.0,"Pink, grape","blue, brown pink",Y,3.0,,"yellow, pink, yellow and pink.",N,,,,Y,2.0,"Sweet cigarillos, Silver cigarillos",,Y,1.0,Vanilla,,Y,2.0,,Black and Yellow.,Trivo,2.0,White grape and Silver,,,,"[40.6103605, -73.95390739999999]", -73.95390739999999,40.6103605
16,16,16,17.0,"Kings Highway (B,Q)",1690 E 16TH ST Brooklyn NY 11229,11229.0,,Y,Y ,Y - Good quality,Janelle,BK,JP,28/112,28.0,112.0,31/112,31.0,112.0,SA,29/126,29.0,126.0,35/126,35.0,126,,,,,,,,17,"Kings Highway (B,Q)",1690 E 16TH ST Brooklyn NY 11229,BK,11229.0,y,n,,,,y,2.0,"le prive, palma",,n,,,,y,1.0,straight up,,y,7.0,"buzz, ba boom, tata, white grape, sweet","red/white, silver",n,,,,n,,,,y,2.0,"gold, pink",,n,,,,bluntville,3.0,"palma, blueberry, grape",,1.0,,"Kings Highway (B,Q)",1690 E 16TH ST Brooklyn NY 11229,BK,11229.0,Y,N,,,,Y,2.0,"Palma, Le Prive",,Y,1.0,,Silver,Y,1.0,,brown,Y,2.0,"tropical twista, black natural",,N,,,,N,,,,Y,5.0,"pink, gold(2), blue,",purple,N,,,,N,,,,,,"[40.608495, -73.957414]", -73.957414,40.608495
17,17,17,18.0,"Kings Highway (B,Q)",947 KINGS HWY Brooklyn NY 11223,11223.0,,Y,Y ,Y - Good quality,Janelle,BK,JP,49/191,49.0,191.0,56/191,56.0,191.0,SA,46/234,46.0,234.0,68/234,68.0,234,,,,,,,,18,"Kings Highway (B,Q)",947 KINGS HWY Brooklyn NY 11223,BK,11223.0,y,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,,,,,6.0,,"Kings Highway (B,Q)",947 KINGS HWY Brooklyn NY 11223,BK,11223.0,Y,Y,5.0,,Brown,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.6073889, -73.9622926]", -73.9622926,40.6073889
18,18,18,19.0,"Kings Highway (B,Q)",1720 KINGS HWY Brooklyn NY 11229,11229.0,Pharmacy,Y,Y ,Y - Good quality,Janelle,BK,JP,36/200,36.0,200.0,50/200,50.0,200.0,SA,24/190,24.0,190.0,46/190,46.0,190,,,,,,,,19,"Kings Highway (B,Q)",1720 KINGS HWY Brooklyn NY 11229,BK,11229.0,y,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,"backwoods, captain black",3.0,"sweet aromatic, sweet",brown,1.0,,"Kings Highway (B,Q)",1720 KINGS HWY Brooklyn NY 11229,BK,11229.0,Y,Y,3.0,,"orange, brown",N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.6095633, -73.95582209999999]", -73.95582209999999,40.6095633
19,19,19,20.0,Kosciuszko St. (J),1165 BROADWAY Brooklyn NY 11221,11221.0,,Y,Y,Y - Not as clear but usable,Janelle,BK,JP,18/104,18.0,104.0,18/104,18.0,104.0,SA,13-Jun,6.0,13.0,13-Jun,6.0,13,,,,,,,,20,Kosciuszko St. (J),1165 BROADWAY Brooklyn NY 11221,BK,11221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Kosciuszko St. (J),1165 BROADWAY Brooklyn NY 11221,BK,11221.0,Y,N,,,,Y,1.0,Palma,,N,,,,Y,4.0,,brown,Y,1.0,,,N,,,,N,,,,Y,1.0,Vanilla,,N,,,,N,,,,,,"[40.6932263, -73.9277615]", -73.9277615,40.6932263
20,20,20,21.0,Kosciuszko St. (J),1173 BROADWAY Brooklyn NY 11221,11221.0,,Y,Y,Y - Not as clear but usable,Janelle,BK,JP,13/180,13.0,180.0,13/180,13.0,180.0,SA,25-Apr,4.0,25.0,25-May,5.0,25,,,,,,,,21,Kosciuszko St. (J),1173 BROADWAY Brooklyn NY 11221,BK,11221.0,y,n,,,,y,1.0,le prive,,n,,,,y,1.0,straight up,,y,6.0,"tata, buzz, sweet, white grape","silver, light green/pink",n,,,,y,5.0,"tropical, purple wave, blue mystique, white grape, silver",,y,3.0,"gold, pink",,n,,,,"backwoods, bluntville",1.0,"sweet aromatic, grape",,5.0,,Kosciuszko St. (J),1173 BROADWAY Brooklyn NY 11221,BK,11221.0,Y,N,,,,Y,1.0,,BLACK,N,,,,N,,,,Y,6.0,,"ORANGE,YELLOW,GREEN,LIME GREEN,",N,,,,Y,5.0,"WHITE GRAPE, SILVER,","GREEN,PINK,YELLOW,",Y,2.0,"VANILLA,PINK",,N,,,,N,,,,,,"[40.6928582, -73.92753429999999]", -73.92753429999999,40.6928582
21,21,21,22.0,Kosciuszko St. (J),1076 BROADWAY Brooklyn NY 11221,11221.0,,Y,Y ,Y - Good quality but cannot really identify number of packs,Janelle,BK,JP,16-Apr,4.0,16.0,16-May,5.0,16.0,RL,16-Apr,4.0,16.0,16-Jul,7.0,16,,,,,,,,22,Kosciuszko St. (J),1076 BROADWAY Brooklyn NY 11221,BK,11221.0,y,n,,,,n,,,,n,,,,y,1.0,pink,,n,,,,n,,,,n,,,,n,,,,n,,,,backwoods,1.0,sweet aromatic,,1.0,,Kosciuszko St. (J),1076 BROADWAY Brooklyn NY 11221,BK,11221.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.6944077, -73.9311506]", -73.9311506,40.6944077
22,22,22,23.0,Kosciuszko St. (J),1117 BROADWAY Brooklyn NY 11221,11221.0,,Y,Y ,Y - Good quality but cannot really identify number of packs,Janelle,BK,JP,21-Jul,7.0,21.0,21-Aug,8.0,21.0,RL,21-Jun,6.0,21.0,21-Aug,8.0,21,,,,,,,,23,Kosciuszko St. (J),1117 BROADWAY Brooklyn NY 11221,BK,11221.0,y,n,,,,n,,,,n,,,,n,,,,y,3.0,"sweet, tata, og kush",,n,,,,y,5.0,"white grape, tropical, purple wave, silver",,y,2.0,gold,,n,,,,backwoods,2.0,sweet aromatic,,,,Kosciuszko St. (J),1117 BROADWAY Brooklyn NY 11221,BK,11221.0,Y,N,,,,N,,,,N,,,,Y,1.0,ORIGINAL,,Y,3.0,"TATA, OG KUSH,",RED,N,,,,Y,5.0,,"LIGHT GREEN, YELLOW, GOLD, PURPLE, SILVER",N,,,,N,,,,N,,,,,2.0,"[40.69397, -73.9294029]", -73.9294029,40.69397
23,23,23,24.0,Norwood & Fulton,3185 FULTON ST Brooklyn NY 11208,11208.0,1/3 menthol,Y,Y,Y - Blocked view but was able to analyze,Janelle & Sally,BK,JP,3-Jan,1.0,3.0,3-Jan,1.0,3.0,RL,3-Jan,1.0,3.0,3-Jan,1.0,3,,,,,,,,24,Norwood & Fulton,3185 FULTON ST Brooklyn NY 11208,BK,11208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Norwood & Fulton,3185 FULTON ST Brooklyn NY 11208,BK,11208.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.68228200000001, -73.877408]", -73.877408,40.68228200000001
24,24,24,25.0,Norwood & Fulton,3139 FULTON ST Brooklyn NY 11208,11208.0,,Y,Y,Y,Janelle & Sally,BK,JP,12-May,5.0,12.0,12-May,5.0,12.0,RL,12-May,5.0,12.0,12-May,5.0,12,,,,,,,,25,Norwood & Fulton,3139 FULTON ST Brooklyn NY 11208,BK,11208.0,y,n,,,,y,1.0,palma,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,,,,,4.0,,Norwood & Fulton,3139 FULTON ST Brooklyn NY 11208,BK,11208.0,Y,Y,2.0,,BROWN,Y,1.0,PALMA,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,2.0,"[40.6818444, -73.87892959999999]", -73.87892959999999,40.6818444
25,25,25,26.0,Norwood & Fulton,3142 FULTON ST Brooklyn NY 11208,11208.0,,Y,Y,Y,Janelle & Sally,BK,JP,0/18,0.0,18.0,0/18,0.0,18.0,RL,0/18,0.0,18.0,0/18,0.0,18,,,,,,,,26,Norwood & Fulton,3142 FULTON ST Brooklyn NY 11208,BK,11208.0,n,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,,,,,,,Norwood & Fulton,3142 FULTON ST Brooklyn NY 11208,BK,11208.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.6815578, -73.8788668]", -73.8788668,40.6815578
26,26,26,27.0,Norwood & Fulton,3118 FULTON ST Brooklyn NY 11208,11208.0,,Y,Y,Y,Janelle & Sally,BK,JP,39/153,39.0,153.0,51/153,51.0,153.0,RL,40/150,40.0,150.0,52/150,52.0,150,,,,,,,,27,Norwood & Fulton,3118 FULTON ST Brooklyn NY 11208,BK,11208.0,y,n,,,,n,,,,n,,,,y,1.0,straight up,,n,,,,n,,,,n,,,,n,,,,n,,,,,,,,2.0,,Norwood & Fulton,3118 FULTON ST Brooklyn NY 11208,BK,11208.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.6812412, -73.87991149999999]", -73.87991149999999,40.6812412
27,27,27,28.0,"Pennsylvania Ave. (2,3,4,5)",734 DUMONT AVE Brooklyn NY 11207,11207.0,,Y,Y ,Y - Blurry but usable; number of packs cannot be determined,Janelle,BK,JP,4-Feb,2.0,4.0,4-Feb,2.0,4.0,SA,4-Feb,2.0,4.0,4-Feb,2.0,4,,,,,,,,28,"Pennsylvania Ave. (2,3,4,5)",734 DUMONT AVE Brooklyn NY 11207,BK,11207.0,y,n,,,,n,,,,n,,,,y,2.0,"straight up, purple",,y,1.0,buzz,,n,,,,y,2.0,"white grape, sweet, purple wave",,n,,,,n,,,,,,,,1.0,,"Pennsylvania Ave. (2,3,4,5)",734 DUMONT AVE Brooklyn NY 11207,BK,11207.0,Y,N,,,,Y,2.0,"PINK VANILLA, PALMA",,N,,,,N,,,,N,,,,N,,,,Y,3.0,"SWEET CIGARILLOS,XOTIC LUSH,PURPLE WAVE",,N,,,,N,,,,N,,,,,2.0,"[40.666545, -73.891423]", -73.891423,40.666545
28,28,28,29.0,"Pennsylvania Ave. (2,3,4,5)",575 RIVERDALE AVE Brooklyn NY 11207,11207.0,Not clearly visible ,Y,Y ,Y - Cigs are hidden in clear pictures,Janelle,BK,JP,4-Feb,2.0,4.0,4-Feb,2.0,4.0,RL,4-Feb,2.0,4.0,4-Feb,2.0,4,,,,,,,,29,"Pennsylvania Ave. (2,3,4,5)",575 RIVERDALE AVE Brooklyn NY 11207,BK,11207.0,n,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,,,,,,,"Pennsylvania Ave. (2,3,4,5)",575 RIVERDALE AVE Brooklyn NY 11207,BK,11207.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.6631587, -73.8948008]", -73.8948008,40.6631587
29,29,29,30.0,"Pennsylvania Ave. (2,3,4,5)",578 LIVONIA AVE Brooklyn NY 11207,11207.0,,Y,Y ,Y - Good but slightly blurry ,Janelle,BK,JP,7-Feb,2.0,7.0,7-Feb,2.0,7.0,SA,6-Mar,3.0,6.0,6-Apr,4.0,6,,,,,,,,30,"Pennsylvania Ave. (2,3,4,5)",578 LIVONIA AVE Brooklyn NY 11207,BK,11207.0,n,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,,,,,,,"Pennsylvania Ave. (2,3,4,5)",578 LIVONIA AVE Brooklyn NY 11207,BK,11207.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.6643059, -73.8957712]", -73.8957712,40.6643059
30,30,30,31.0,"Pennsylvania Ave. (2,3,4,5)",504 PENNSYLVANIA AVE Brooklyn NY 11207,11207.0,,Y,Y ,Y - Good quality although a bit dark,Janelle,BK,JP,9-Jan,1.0,9.0,9-Jan,1.0,9.0,SA,19-Aug,8.0,19.0,19-Nov,11.0,19,,,,,,,,31,"Pennsylvania Ave. (2,3,4,5)",504 PENNSYLVANIA AVE Brooklyn NY 11207,BK,11207.0,y,n,,,,y,1.0,palma,,n,,,,n,,,,y,3.0,"ba boom, buzz, sweet",,n,,,,n,,,,y,4.0,gold,,n,,,,"backwoods, bluntville, phillies blunt",7.0,"sweet aromatic, pink diva",red,24.0,,"Pennsylvania Ave. (2,3,4,5)",504 PENNSYLVANIA AVE Brooklyn NY 11207,BK,11207.0,Y,N,,,,N,,,,N,,,,N,,,,Y,3.0,"BUZZ,TATA,SWEET",,N,,,,N,,,,Y,4.0,VANILLA,,N,,,,N,,,,,,"[40.6649706, -73.8944046]", -73.8944046,40.6649706
31,31,31,32.0,"Pennsylvania Ave. (2,3,4,5)",509 PENNSYLVANIA AVE Brooklyn NY 11207,11207.0,"Folder on drive labeled ""Probably(?)""",Y,Y ,Y - Good quality,Janelle,BK,JP,22-Dec,12.0,22.0,22-Dec,12.0,22.0,SA,13/26,13.0,26.0,14/26,14.0,26,,,,,,,,32,"Pennsylvania Ave. (2,3,4,5)",509 PENNSYLVANIA AVE Brooklyn NY 11207,BK,11207.0,y,n,,,,n,,,,n,,,,y,3.0,"straight up, pink, purple",,y,1.0,,green,n,,,,y,3.0,"blue mystique, sweet, purple wave",,n,,,,n,,,,backwoods,3.0,sweet aromatic,,3.0,4,"Pennsylvania Ave. (2,3,4,5)",509 PENNSYLVANIA AVE Brooklyn NY 11207,BK,11207.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.6649118, -73.893909]", -73.893909,40.6649118
32,32,32,33.0,"Sterling St. (2,5)",413 LEFFERTS AVE Brooklyn NY 11225,11225.0,,Y,Y,Y - Good quality,Janelle,BK,JP,15-Oct,10.0,15.0,15-Oct,10.0,15.0,SA,15-Oct,10.0,15.0,15-Oct,10.0,15,,,,,,,,33,"Sterling St. (2,5)",413 LEFFERTS AVE Brooklyn NY 11225,BK,11225.0,y,n,,,,n,,,,n,,,,n,,,,y,1.0,sweet,,n,,,,y,1.0,sweet,,y,4.0,gold,,n,,,,"backwoods, phillies blunt",9.0,,"red/brown, red",2.0,,"Sterling St. (2,5)",413 LEFFERTS AVE Brooklyn NY 11225,BK,11225.0,Y,N,,,,N,,,,N,,,,N,,,,Y,10.0,SWEET,,N,,,,Y,6.0,,RED,N,,,,N,,,,N,,,,,,"[40.6627187, -73.9475588]", -73.9475588,40.6627187
33,33,33,34.0,"Sterling St. (2,5)",250 EMPIRE BLVD Brooklyn NY 11225,11225.0,,Y,Y ,Y - Blurry but usable,Janelle,BK,JP,14/20,14.0,20.0,16/20,16.0,20.0,SA,14/20,14.0,20.0,16/20,16.0,20,,,,,,,,34,"Sterling St. (2,5)",250 EMPIRE BLVD Brooklyn NY 11225,BK,11225.0,n,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,,,,,,,"Sterling St. (2,5)",250 EMPIRE BLVD Brooklyn NY 11225,BK,11225.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.6634288, -73.9541903]", -73.9541903,40.6634288
34,34,34,35.0,"Sterling St. (2,5)",1079 NOSTRAND AVE Brooklyn NY 11225,11225.0,no prices,Y,Y ,Y - Good quality but cashier is blocking cigs,Janelle,BK,JP,14/48,14.0,48.0,14/48,14.0,48.0,SA,18-Apr,4.0,18.0,18-Apr,4.0,18,,,,,,,,35,"Sterling St. (2,5)",1079 NOSTRAND AVE Brooklyn NY 11225,BK,11225.0,n,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,,,,,,,"Sterling St. (2,5)",1079 NOSTRAND AVE Brooklyn NY 11225,BK,11225.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.6617083, -73.9505166]", -73.9505166,40.6617083
35,35,35,36.0,"Sterling St. (2,5)",1080 NOSTRAND AVE Brooklyn NY 11225,11225.0,no prices,Y,Y ,Y - Blurry but usable,Janelle,BK,JP,Oct-88,10.0,88.0,Dec-88,12.0,88.0,SA,21-May,5.0,21.0,21-Aug,8.0,21,,,,,,,,36,"Sterling St. (2,5)",1080 NOSTRAND AVE Brooklyn NY 11225,BK,11225.0,n,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,,,,,,,"Sterling St. (2,5)",1080 NOSTRAND AVE Brooklyn NY 11225,BK,11225.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.661662, -73.95104599999999]", -73.95104599999999,40.661662
36,36,36,37.0,"Sterling St. (2,5)",1040 NOSTRAND AVE Brooklyn NY 11225,11225.0,,Y,Y ,Y - Good quality; cannot identify number of packs sold,Janelle,BK,JP,9-Apr,4.0,9.0,9-Apr,4.0,9.0,SA,11-Jun,6.0,11.0,11-Jul,7.0,11,,,,,,,,37,"Sterling St. (2,5)",1040 NOSTRAND AVE Brooklyn NY 11225,BK,11225.0,n,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,,,,,,,"Sterling St. (2,5)",1040 NOSTRAND AVE Brooklyn NY 11225,BK,11225.0,Y,N,,,,N,,,,N,,,,N,,,,Y,2.0,,"YELLOW, ORANGE",N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.6628605, -73.95107550000002]", -73.95107550000002,40.6628605
37,37,37,38.0,"Sterling St. (2,5)",1037 NOSTRAND AVE Brooklyn NY 11225,11225.0,,Y,Y ,Y - Good quality,Janelle,BK,JP,13/169,13.0,169.0,13/169,13.0,169.0,SA,13-Apr,4.0,13.0,13-Apr,4.0,13,,,,,,,,38,"Sterling St. (2,5)",1037 NOSTRAND AVE Brooklyn NY 11225,BK,11225.0,n,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,,,,,,,"Sterling St. (2,5)",1037 NOSTRAND AVE Brooklyn NY 11225,BK,11225.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.6629195, -73.95067499999999]", -73.95067499999999,40.6629195
38,38,38,39.0,"Sterling St. (2,5)",410 ROGERS AVE Brooklyn NY 11225,11225.0,cigs are hidden behind counter,Y,Y ,Y - Good quality; cigs not really seen but still usable,Janelle,BK,JP,3-Feb,2.0,3.0,3-Mar,3.0,3.0,RL,3-Mar,3.0,3.0,3-Mar,3.0,3,,,,,,,,39,"Sterling St. (2,5)",410 ROGERS AVE Brooklyn NY 11225,BK,11225.0,y,n,,,,y,1.0,palma,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,backwoods,1.0,sweet aromatic,,,,"Sterling St. (2,5)",410 ROGERS AVE Brooklyn NY 11225,BK,11225.0,N,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,,"[40.66266359999999, -73.9539849]", -73.9539849,40.66266359999999
39,39,39,40.0,"161 St - Yankee Stadium, 4, B & D train",87 E 161ST ST Bronx NY 10451,10451.0,,Y,Y,Y,Rachel,BX,JP,5-Feb,2.0,5.0,5-Feb,2.0,5.0,RL,5-Feb,2.0,5.0,5-Feb,2.0,5,,,,,,,,40,"161 St - Yankee Stadium, 4, B & D train",87 E 161ST ST Bronx NY 10451,BX,10451.0,y,y,1.0,wine,dark red,y,4.0,"palma, le prive, pink vanilla",,n,,,,y,2.0,"straight up, slo burn",,n,,,,n,,,,n,,,,y,2.0,gold,,n,,,,"bluntville, phillies blunt",2.0,palma,red/white,,,"161 St - Yankee Stadium, 4, B & D train",87 E 161ST ST Bronx NY 10451,BX,10451.0,Y,Y,2.0,,"BNROWN,BLUE",Y,2.0,"PALMA, LE PRIVE, PINK DUTCHESS",,N,,,,N,,,,N,,,,N,,,,N,,,,Y,3.0,GOLD,YELLOW,N,,,,N,,,,,,"[40.8276846, -73.9244313]", -73.9244313,40.8276846
40,40,40,41.0,"161 St - Yankee Stadium, 4, B & D train",846 GERARD AVE Bronx NY 10451,10451.0,obstace blocking- still quantifiable,Y,Y,Y,Rachel,BX,JP,5/110,5.0,110.0,13/110,13.0,110.0,RL,May-55,5.0,55.0,13/55,13.0,55,,,,,,,,41,"161 St - Yankee Stadium, 4, B & D train",846 GERARD AVE Bronx NY 10451,BX,10451.0,y,n,,,,y,7.0,palma,,n,,,,y,1.0,straight up,,y,1.0,sweet,,n,,,,y,1.0,sweet,,y,11.0,gold,,n,,,,phillies blunt,6.0,,red/white,4.0,,"161 St - Yankee Stadium, 4, B & D train",846 GERARD AVE Bronx NY 10451,BX,10451.0,Y,Y,,,,N,,,,N,,,,N,,,,Y,1.0,,,N,,,,Y,1.0,,,N,,,,N,,,,N,,,,Y; 18,,"[40.8268029, -73.9252329]", -73.9252329,40.8268029
41,41,41,42.0,"161 St - Yankee Stadium, 4, B & D train",888 GRAND CONCOURSE Bronx NY 10451,10451.0,obstace blocking- still quantifiable,Y,Y,Y,Rachel,BX,JP,30/336,30.0,336.0,30/336,30.0,336.0,RL,30/336,30.0,336.0,30/336,30.0,336,,,,,,,,42,"161 St - Yankee Stadium, 4, B & D train",888 GRAND CONCOURSE Bronx NY 10451,BX,10451.0,n,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,n,,,,,,,,,,"161 St - Yankee Stadium, 4, B & D train",888 GRAND CONCOURSE Bronx NY 10451,BX,10451.0,Y,Y,2.0,,"BROWN, ORANGE",N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,N,,,,,2.0,"[40.82656619999999, -73.92226029999999]", -73.92226029999999,40.82656619999999
42,42,42,43.0,"161 St - Yankee Stadium, 4, B & D train",898 GERARD AVE Bronx NY 10452,10452.0,,Y,Y,Y,Rachel,BX,JP,16-Jul,7.0,16.0,16-Jul,7.0,16.0,RL,16-Jul,7.0,16.0,16-Sep,9.0,16,,,,,,,,43,"161 St - Yankee Stadium, 4, B & D train",898 GERARD AVE Bronx NY 10452,BX,10452.0,y,n,,,,y,1.0,palma,,n,,,,y,1.0,straight up,,y,4.0,"og kush, white grape, sweet ",,n,,,,y,2.0,"sweet, silver",,n,,,,n,,,,"bluntville, backwoods",2.0,"palma, sweet aromatic",,2.0,,"161 St - Yankee Stadium, 4, B & D train",898 GERARD AVE Bronx NY 10452,BX,10452.0,Y,N,,,,Y,1.0,PALMA,,N,,,,Y,1.0,,BROWN,Y,4.0,"OG KUSH,","LIME GREEN, YELLOW, RED",N,,,,Y,2.0,"SWEET CIGARILLO, SILVER",,Y,1.0,GOLD,,N,,,,N,,,,,2.0,"[40.8281989, -73.92431049999999]", -73.92431049999999,40.8281989
43,43,43,44.0,"161 St - Yankee Stadium, 4, B & D train",66 E 161ST ST Bronx NY 10451,10451.0,,Y,Y,Y,Rachel,BX,JP,82/352,82.0,352.0,88/352,88.0,352.0,RL,80/210,80.0,210.0,85/210,85.0,210,,,,,,,,44,"161 St - Yankee Stadium, 4, B & D train",66 E 161ST ST Bronx NY 10451,BX,10451.0,y,n,,,,y,1.0,palma,,n,,,,y,1.0,straight up,,n,,,,y,2.0,,"silver, dark red",y,1.0,sweet,,n,,,,y,4.0,"black, silver",,"bluntville, backwoods, dutch masters ",3.0,"palma, sweet aromatic, palma",,3.0,,"161 St - Yankee Stadium, 4, B & D train",66 E 161ST ST Bronx NY 10451,BX,10451.0,Y,Y,2.0,,"BROWN, BROWN",Y,1.0,PALMA,,N,,,,Y,1.0,STRAIGHT UP,,N,,,,N,,,,Y,1.0,SWEET CIGARILLO,,Y,1.0,VANILLA,,Y,4.0,"SILVER, BLACK",,N,,,,Y;2,6.0,"[40.82735479999999, -73.9254292]", -73.9254292,40.82735479999999
